# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 1) ! 987.776 us  |            }
 1)   5.824 us    |            __fsnotify_parent();
 1)   5.856 us    |            fsnotify();
 1) # 1074.704 us |          }
 1) # 1135.680 us |        }
 1) # 1148.512 us |      }
 1) # 1160.704 us |    }
 1) # 1172.640 us |  }
 1)               |  el0_svc_handler() {
 1)               |    el0_svc_common.constprop.0() {
 1)               |      __arm64_sys_ppoll() {
 1)   5.504 us    |        set_user_sigmask();
 1)               |        do_sys_poll() {
 1)   5.792 us    |          __fdget();
 1)               |          tty_poll() {
 1)               |            tty_ldisc_ref_wait() {
 1)   5.568 us    |              ldsem_down_read();
 1) + 15.920 us   |            }
 1)               |            n_tty_poll() {
 1)               |              __pollwait() {
 1)               |                add_wait_queue() {
 1)   5.104 us    |                  _raw_spin_lock_irqsave();
 1)   5.728 us    |                  _raw_spin_unlock_irqrestore();
 1) + 26.048 us   |                }
 1) + 36.256 us   |              }
 1)               |              __pollwait() {
 1)               |                add_wait_queue() {
 1)   5.232 us    |                  _raw_spin_lock_irqsave();
 1)   5.424 us    |                  _raw_spin_unlock_irqrestore();
 1) + 24.976 us   |                }
 1) + 34.800 us   |              }
 1)               |              tty_buffer_flush_work() {
 1)               |                flush_work() {
 1)               |                  __flush_work.isra.0() {
 1)   4.896 us    |                    __rcu_read_lock();
 1)   9.472 us    |                    _raw_spin_lock_irq();
 1)   8.432 us    |                    _raw_spin_unlock_irq();
 1)   5.824 us    |                    __rcu_read_unlock();
 1) ! 144.016 us  |                  }
 1) ! 154.640 us  |                }
 1) ! 165.728 us  |              }
 1)   5.664 us    |              tty_hung_up_p();
 1)   5.808 us    |              mutex_is_locked();
 1)               |              tty_chars_in_buffer() {
 1)               |                uart_chars_in_buffer() {
 1)   5.616 us    |                  _raw_spin_lock_irqsave();
 1)   5.728 us    |                  _raw_spin_unlock_irqrestore();
 1) + 27.952 us   |                }
 1) + 38.784 us   |              }
 1)               |              tty_write_room() {
 1)               |                uart_write_room() {
 1)   5.184 us    |                  _raw_spin_lock_irqsave();
 1)   5.440 us    |                  _raw_spin_unlock_irqrestore();
 1) + 26.768 us   |                }
 1) + 37.072 us   |              }
 1) ! 376.640 us  |            }
 1)               |            tty_ldisc_deref() {
 1)   5.392 us    |              ldsem_up_read();
 1) + 15.904 us   |            }
 1) ! 429.520 us  |          }
 1)               |          schedule_hrtimeout_range() {
 1)               |            schedule_hrtimeout_range_clock() {
 1)               |              schedule() {
 1)               |                rcu_note_context_switch() {
 1)   5.392 us    |                  rcu_preempt_deferred_qs();
 1) + 18.576 us   |                }
 1)   7.808 us    |                _raw_spin_lock();
 1)               |                update_rq_clock.part.0() {
 1)   6.480 us    |                  update_irq_load_avg();
 1) + 19.520 us   |                }
 1)               |                deactivate_task() {
 1)               |                  dequeue_task_fair() {
 1)               |                    dequeue_entity() {
 1)               |                      update_curr() {
 1)   5.088 us    |                        update_min_vruntime();
 1)               |                        cpuacct_charge() {
 1)   4.768 us    |                          __rcu_read_lock();
 1)   5.312 us    |                          __rcu_read_unlock();
 1) + 25.888 us   |                        }
 1)   5.104 us    |                        __rcu_read_lock();
 1)   5.392 us    |                        __rcu_read_unlock();
 1) + 69.232 us   |                      }
 1)   6.832 us    |                      __update_load_avg_se();
 1)   7.456 us    |                      __update_load_avg_cfs_rq();
 1)   5.888 us    |                      clear_buddies();
 1)   5.696 us    |                      account_entity_dequeue();
 1)   5.440 us    |                      update_cfs_group();
 1)   5.504 us    |                      update_min_vruntime();
 1) ! 149.792 us  |                    }
 1)               |                    dequeue_entity() {
 1)               |                      update_curr() {
 1)   4.976 us    |                        update_min_vruntime();
 1) + 15.104 us   |                      }
 1)   5.456 us    |                      __update_load_avg_se();
 1)   5.744 us    |                      __update_load_avg_cfs_rq();
 1)   5.680 us    |                      clear_buddies();
 1)   5.408 us    |                      account_entity_dequeue();
 1)               |                      update_cfs_group() {
 1)   5.632 us    |                        reweight_entity();
 1) + 16.176 us   |                      }
 1)   5.088 us    |                      update_min_vruntime();
 1) + 98.848 us   |                    }
 1) ! 264.800 us  |                  }
 1) ! 276.688 us  |                }
 1)               |                pick_next_task_fair() {
 1)               |                  newidle_balance() {
 1)   5.152 us    |                    __rcu_read_lock();
 1)   5.344 us    |                    __msecs_to_jiffies();
 1)   5.088 us    |                    __rcu_read_unlock();
 1) + 40.320 us   |                  }
 1) + 51.408 us   |                }
 1)               |                pick_next_task_idle() {
 1)               |                  put_prev_task_fair() {
 1)   5.040 us    |                    check_cfs_rq_runtime();
 1)   5.328 us    |                    check_cfs_rq_runtime();
 1) + 28.048 us   |                  }
 1) + 39.184 us   |                }
 1)               |                fpsimd_thread_switch() {
 1)               |                  fpsimd_save() {
 1)   5.360 us    |                    have_cpu_fpsimd_context();
 1) + 18.848 us   |                  }
 1) + 31.664 us   |                }
 1)   6.208 us    |                hw_breakpoint_thread_switch();
 1)   5.440 us    |                uao_thread_switch();
 ------------------------------------------
 1)     sh-160     =>    <idle>-0   
 ------------------------------------------

 1)               |      finish_task_switch() {
 1)   5.760 us    |        _raw_spin_unlock_irq();
 1) + 17.216 us   |      }
 1) # 9930.720 us |    } /* schedule_idle */
 1) * 47752.59 us |  } /* do_idle */
 1)               |  do_idle() {
 1)               |    tick_nohz_idle_enter() {
 1)               |      ktime_get() {
 1)   5.648 us    |        arch_counter_read();
 1) + 16.528 us   |      }
 1) + 27.872 us   |    }
 1)   5.424 us    |    arch_cpu_idle_enter();
 1)   5.328 us    |    tick_check_broadcast_expired();
 1)   5.648 us    |    cpuidle_get_cpu_driver();
 1)   5.792 us    |    cpuidle_not_available();
 1)               |    tick_nohz_idle_stop_tick() {
 1)   5.472 us    |      can_stop_idle_tick();
 1)               |      tick_nohz_next_event() {
 1)   5.120 us    |        rcu_needs_cpu();
 1)               |        get_next_timer_interrupt() {
 1)   6.624 us    |          _raw_spin_lock();
 1) + 10.672 us   |          __next_timer_interrupt();
 1)   5.696 us    |          _raw_spin_unlock();
 1)               |          hrtimer_get_next_event() {
 1)   5.264 us    |            _raw_spin_lock_irqsave();
 1)   5.600 us    |            _raw_spin_unlock_irqrestore();
 1) + 26.816 us   |          }
 1) ! 110.432 us  |        }
 1)   5.456 us    |        timekeeping_max_deferment();
